Time: 15-Jan-17 15:02:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:43; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:45; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:47; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:09:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 15-Jan-17 15:09:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 100; Low: 0; High: 60
Time: 15-Jan-17 15:09:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 15-Jan-17 15:09:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 15-Jan-17 15:09:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 15-Jan-17 15:09:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 15-Jan-17 15:09:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 15-Jan-17 15:09:42; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 15-Jan-17 15:09:44; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 15-Jan-17 15:09:46; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 15-Jan-17 15:10:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 1; Tag Value: 0; Low: 0; High: 60
Time: 15-Jan-17 15:10:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 15-Jan-17 15:10:16; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 15-Jan-17 15:10:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 15-Jan-17 15:10:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 15-Jan-17 15:10:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 15-Jan-17 15:10:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 15-Jan-17 15:10:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 15-Jan-17 15:10:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 15-Jan-17 15:10:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 100; Low: 0; High: 60
Time: 15-Jan-17 15:10:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
